       0                  Team                   Name          Gp   Min     Ppg     FGM     FGA     FG%     FTM     FTA     FT%    3pt Made 3pt Att   3pt%   O Reb    Reb     Ast      PF     STL      TO     BLK      TF
       1             Houston Rockets         Kevin Durant      50   26.7    21.1    7.5      14     .539    4.9     5.3     .929     1.1      2.9     .368    0.7     6.1     3.2     2.8     0.7     2.4     0.8      0
       1             Houston Rockets         Kawhi Leonard     49   29.8    17.6    6.7      14     .477    3.1     3.5     .878     1.1      2.5     .451    1.4      6      1.9     3.1     2.2     1.3     0.8      0
       1             Houston Rockets          Chris Paul       53   30.4    16.7    6.1     12.8    .478    3.3     3.6     .917     1.1      2.8     .384    0.6     3.6     8.3     3.1     2.6     2.6     0.1      0
       1             Houston Rockets     Giannis Antetokounmpo 50   22.6    12.4    4.8     9.5     .502    2.7     3.7     .732     0.2      0.6     .281     1      4.6     2.4      3      0.7     1.9     0.9      0
       1             Houston Rockets        Derrick Favors     30   16.3    9.5     3.8     7.5     .504    1.9     2.6     .722      0        0      .000    1.6     3.9     0.6     1.7     0.6      1      0.4      0
       1             Houston Rockets        Alvin Robertson    41   19.5    8.6     3.6     7.1     .505    1.3      2      .654     0.1      0.7     .172    0.9     2.7     2.9     2.7     1.5     1.6     0.1      0
       1             Houston Rockets     Michael Kidd Gilchris 21   8.7     5.4     2.1     3.4     .620    1.1     1.4     .793     0.1      0.2     .400    0.4     1.6     0.2     0.6     0.2     0.4     0.1      0
       1             Houston Rockets         Michael Redd      50    19     11.8    4.6     9.9     .464    1.2     1.5     .805     1.4      3.3     .416    1.1     3.3     1.3     1.5     0.6     0.8     0.1      0
       1             Houston Rockets          Rajon Rondo      51   28.5    10.9    4.6     8.8     .522    1.1     1.8     .606     0.6      1.5     .405    1.1     4.6      8      2.8     1.5     3.4     0.1      0
       1             Houston Rockets          Ricky Rubio      53   14.6    5.5     1.4     3.6     .402    2.5     2.8     .885     0.2      0.8     .268    0.2     2.1     4.3     1.6     1.2     1.5      0       0
       1             Houston Rockets         Nikola Jokic      53   21.1    9.8      4      7.4     .538    1.6      2      .837     0.3      0.7     .368    2.6      6      1.9     4.3     1.2     1.5     0.4      0
       1             Houston Rockets          Rudy Gobert      44   23.1     6      2.4      4      .588    1.3     2.7     .487      0        0      .000    2.8     6.9     1.1     3.2     0.9     1.2     1.3      0
       1             Houston Rockets         Aaron Gordon      47    14     6.1     2.5     4.9     .517    0.9     1.5     .609     0.1      0.7     .226    1.4     3.6     1.2     1.9     0.4     0.7     0.2      0
       1             Houston Rockets       Boban Marjanovic    23   5.4      3      1.4     2.2     .627    0.2     0.3     .833      0        0      .000    0.4      1      0.2     0.9     0.2     0.5     0.2      0
       1             Houston Rockets            Totals         53  240.5   122.1    46.7    92.1    .507    23.9    30.3    .787     4.9      13.6    .361    13.5    48.2    34.7    29.2    12.8    18.3     5       0
       1             Houston Rockets            DTotals        53  240.4   114.1    40.9    88.8    .461    27.4    36.1    .760     4.8      14.5    .329    12.6    43.5    26.9    27.1    9.6      18     6.2      0
       1                  Team                   Name          Gp   Min     FGM     FGA     FG%     FTM     FTA     FT%   3pt Made 3pt Att    3pt%   O Reb    Reb     Ast      PF     STL      TO     BLK      TF      ?
