             TEAM VS. TEAM STANDINGS

Houston Rockets          39-14

   Phoenix Suns:          2- 1
   Denver Nuggets:        2- 0
   Portland Trailblazers: 5- 0
   Oklahoma City Thunder: 0- 0
   Cleveland Cavaliers:   0- 0
   Orlando Magic:         1- 0
   Toronto Raptors:       1- 2
   Detroit Pistons:       4- 0
   Rochester Royals:      0- 0
   KC-Omaha Kings:        2- 0
   Boston Celtics:        1- 0
   Syracuse Nationals:    0- 2
   Washington Wizards:    1- 2
   Brooklyn Nets:         2- 0
   Oakland Oaks:          2- 0
   San Diego Qs:          1- 1
   Utah Stars:            2- 1
   Anaheim Amigos:        0- 0
   San Antonio Spurs:     1- 1
   Dallas Chaparrals:     2- 0
   Trenton Cagers:        0- 0
   Kentucky Colonels:     2- 0
   Miami Floridians:      2- 1
   Minnesota Muskies:     1- 1
   Baltimore Claws:       2- 0
   Carolina Cougars:      1- 1
   Pittsburgh Condors:    1- 0
   Virginia Squires:      0- 0
   New Jersey Americans:  1- 1

   Conference:           21- 7
   Non-Conference:       18- 7


Phoenix Suns             19-35

   Houston Rockets:       1- 2
   Denver Nuggets:        1- 2
   Portland Trailblazers: 3- 1
   Oklahoma City Thunder: 1- 2
   Cleveland Cavaliers:   1- 1
   Orlando Magic:         0- 2
   Toronto Raptors:       1- 1
   Detroit Pistons:       0- 2
   Rochester Royals:      1- 2
   KC-Omaha Kings:        0- 0
   Boston Celtics:        2- 1
   Syracuse Nationals:    0- 3
   Washington Wizards:    0- 0
   Brooklyn Nets:         0- 1
   Oakland Oaks:          1- 1
   San Diego Qs:          0- 0
   Utah Stars:            0- 1
   Anaheim Amigos:        0- 2
   San Antonio Spurs:     2- 0
   Dallas Chaparrals:     0- 0
   Trenton Cagers:        0- 3
   Kentucky Colonels:     1- 2
   Miami Floridians:      2- 1
   Minnesota Muskies:     0- 1
   Baltimore Claws:       0- 1
   Carolina Cougars:      0- 2
   Pittsburgh Condors:    0- 0
   Virginia Squires:      0- 0
   New Jersey Americans:  2- 1

   Conference:           11-20
   Non-Conference:        8-15


Denver Nuggets           17-38

   Houston Rockets:       0- 2
   Phoenix Suns:          2- 1
   Portland Trailblazers: 1- 3
   Oklahoma City Thunder: 1- 0
   Cleveland Cavaliers:   1- 2
   Orlando Magic:         0- 2
   Toronto Raptors:       0- 2
   Detroit Pistons:       0- 3
   Rochester Royals:      2- 0
   KC-Omaha Kings:        0- 2
   Boston Celtics:        0- 1
   Syracuse Nationals:    0- 2
   Washington Wizards:    1- 0
   Brooklyn Nets:         0- 0
   Oakland Oaks:          2- 0
   San Diego Qs:          0- 1
   Utah Stars:            0- 2
   Anaheim Amigos:        0- 0
   San Antonio Spurs:     0- 2
   Dallas Chaparrals:     0- 2
   Trenton Cagers:        1- 1
   Kentucky Colonels:     2- 1
   Miami Floridians:      1- 0
   Minnesota Muskies:     0- 2
   Baltimore Claws:       0- 3
   Carolina Cougars:      1- 1
   Pittsburgh Condors:    1- 2
   Virginia Squires:      0- 0
   New Jersey Americans:  1- 1

   Conference:            8-20
   Non-Conference:        9-18


Portland Trailblazers    17-37

   Houston Rockets:       0- 5
   Phoenix Suns:          1- 3
   Denver Nuggets:        3- 1
   Oklahoma City Thunder: 1- 3
   Cleveland Cavaliers:   1- 0
   Orlando Magic:         0- 0
   Toronto Raptors:       0- 0
   Detroit Pistons:       1- 1
   Rochester Royals:      0- 0
   KC-Omaha Kings:        1- 1
   Boston Celtics:        0- 2
   Syracuse Nationals:    0- 0
   Washington Wizards:    0- 2
   Brooklyn Nets:         2- 1
   Oakland Oaks:          0- 1
   San Diego Qs:          0- 3
   Utah Stars:            0- 0
   Anaheim Amigos:        1- 1
   San Antonio Spurs:     0- 0
   Dallas Chaparrals:     3- 0
   Trenton Cagers:        0- 3
   Kentucky Colonels:     0- 2
   Miami Floridians:      0- 2
   Minnesota Muskies:     0- 0
   Baltimore Claws:       1- 1
   Carolina Cougars:      0- 1
   Pittsburgh Condors:    1- 1
   Virginia Squires:      0- 3
   New Jersey Americans:  1- 0

   Conference:           10-19
   Non-Conference:        7-18


Oklahoma City Thunder    26-27

   Houston Rockets:       0- 0
   Phoenix Suns:          2- 1
   Denver Nuggets:        0- 1
   Portland Trailblazers: 3- 1
   Cleveland Cavaliers:   1- 1
   Orlando Magic:         0- 0
   Toronto Raptors:       1- 1
   Detroit Pistons:       0- 2
   Rochester Royals:      0- 0
   KC-Omaha Kings:        1- 1
   Boston Celtics:        2- 0
   Syracuse Nationals:    2- 0
   Washington Wizards:    0- 0
   Brooklyn Nets:         2- 0
   Oakland Oaks:          2- 1
   San Diego Qs:          0- 0
   Utah Stars:            0- 2
   Anaheim Amigos:        0- 2
   San Antonio Spurs:     1- 2
   Dallas Chaparrals:     1- 2
   Trenton Cagers:        2- 0
   Kentucky Colonels:     1- 3
   Miami Floridians:      2- 0
   Minnesota Muskies:     0- 2
   Baltimore Claws:       1- 1
   Carolina Cougars:      2- 1
   Pittsburgh Condors:    0- 0
   Virginia Squires:      0- 0
   New Jersey Americans:  0- 3

   Conference:           14- 8
   Non-Conference:       12-19


Cleveland Cavaliers      21-34

   Houston Rockets:       0- 0
   Phoenix Suns:          1- 1
   Denver Nuggets:        2- 1
   Portland Trailblazers: 0- 1
   Oklahoma City Thunder: 1- 1
   Orlando Magic:         1- 3
   Toronto Raptors:       1- 3
   Detroit Pistons:       1- 3
   Rochester Royals:      1- 2
   KC-Omaha Kings:        2- 0
   Boston Celtics:        0- 0
   Syracuse Nationals:    0- 2
   Washington Wizards:    0- 2
   Brooklyn Nets:         2- 0
   Oakland Oaks:          0- 0
   San Diego Qs:          1- 1
   Utah Stars:            0- 0
   Anaheim Amigos:        0- 2
   San Antonio Spurs:     2- 1
   Dallas Chaparrals:     0- 0
   Trenton Cagers:        1- 1
   Kentucky Colonels:     2- 0
   Miami Floridians:      1- 2
   Minnesota Muskies:     0- 2
   Baltimore Claws:       0- 0
   Carolina Cougars:      1- 1
   Pittsburgh Condors:    0- 3
   Virginia Squires:      1- 2
   New Jersey Americans:  0- 0

   Conference:           12-19
   Non-Conference:        9-15


Orlando Magic            43-10

   Houston Rockets:       0- 1
   Phoenix Suns:          2- 0
   Denver Nuggets:        2- 0
   Portland Trailblazers: 0- 0
   Oklahoma City Thunder: 0- 0
   Cleveland Cavaliers:   3- 1
   Toronto Raptors:       0- 0
   Detroit Pistons:       0- 0
   Rochester Royals:      3- 1
   KC-Omaha Kings:        2- 0
   Boston Celtics:        0- 0
   Syracuse Nationals:    3- 0
   Washington Wizards:    1- 0
   Brooklyn Nets:         2- 0
   Oakland Oaks:          3- 0
   San Diego Qs:          1- 1
   Utah Stars:            2- 1
   Anaheim Amigos:        3- 0
   San Antonio Spurs:     0- 2
   Dallas Chaparrals:     3- 0
   Trenton Cagers:        2- 0
   Kentucky Colonels:     2- 0
   Miami Floridians:      2- 0
   Minnesota Muskies:     0- 0
   Baltimore Claws:       2- 1
   Carolina Cougars:      0- 0
   Pittsburgh Condors:    1- 1
   Virginia Squires:      1- 1
   New Jersey Americans:  3- 0

   Conference:           18- 3
   Non-Conference:       25- 7


Toronto Raptors          34-19

   Houston Rockets:       2- 1
   Phoenix Suns:          1- 1
   Denver Nuggets:        2- 0
   Portland Trailblazers: 0- 0
   Oklahoma City Thunder: 1- 1
   Cleveland Cavaliers:   3- 1
   Orlando Magic:         0- 0
   Detroit Pistons:       0- 4
   Rochester Royals:      3- 1
   KC-Omaha Kings:        2- 1
   Boston Celtics:        2- 0
   Syracuse Nationals:    1- 0
   Washington Wizards:    1- 0
   Brooklyn Nets:         2- 0
   Oakland Oaks:          2- 0
   San Diego Qs:          1- 2
   Utah Stars:            0- 0
   Anaheim Amigos:        1- 1
   San Antonio Spurs:     1- 0
   Dallas Chaparrals:     1- 1
   Trenton Cagers:        1- 1
   Kentucky Colonels:     0- 0
   Miami Floridians:      0- 2
   Minnesota Muskies:     0- 0
   Baltimore Claws:       3- 0
   Carolina Cougars:      0- 0
   Pittsburgh Condors:    2- 0
   Virginia Squires:      1- 2
   New Jersey Americans:  1- 0

   Conference:           20-10
   Non-Conference:       14- 9


Detroit Pistons          38-17

   Houston Rockets:       0- 4
   Phoenix Suns:          2- 0
   Denver Nuggets:        3- 0
   Portland Trailblazers: 1- 1
   Oklahoma City Thunder: 2- 0
   Cleveland Cavaliers:   3- 1
   Orlando Magic:         0- 0
   Toronto Raptors:       4- 0
   Rochester Royals:      2- 0
   KC-Omaha Kings:        1- 0
   Boston Celtics:        1- 0
   Syracuse Nationals:    2- 0
   Washington Wizards:    1- 0
   Brooklyn Nets:         1- 0
   Oakland Oaks:          3- 0
